Leitura;Leitura_filtrada;Escrita;ModoOperacao;ValorDesejado;CicloInicio;CicloFim
2.563074;2.563074;4.000000;0;0.000000;14662666620;14662666662
2.538081;2.538081;4.000000;0;0.000000;14663166695;14663166722
2.595302;2.595302;4.000000;0;0.000000;14663666706;14663666733
2.552222;2.552222;4.000000;0;0.000000;14664166717;14664166759
2.550906;2.550906;4.000000;0;0.000000;14664666719;14664666746
2.530518;2.530518;4.000000;0;0.000000;14665166717;14665166745
2.512102;2.512102;5.000000;0;0.000000;14665666716;14665666758
2.526242;2.526242;5.000000;0;0.000000;14666166713;14666166741
2.569322;2.569322;5.000000;0;0.000000;14666666724;14666666751
2.511773;2.511773;3.000000;0;0.000000;14667166762;14667166805
2.532491;2.532491;3.000000;0;0.000000;14667666723;14667666751
2.545974;2.545974;3.000000;0;0.000000;14668166718;14668166745
2.539068;2.539068;5.000000;0;0.000000;14668666716;14668666758
2.529531;2.529531;5.000000;0;0.000000;14669166726;14669166754
2.565047;2.565047;5.000000;0;0.000000;14669666733;14669666760
2.569980;2.569980;5.000000;0;0.000000;14670166744;14670166785
2.557155;2.557155;5.000000;0;0.000000;14670666748;14670666776
2.566691;2.566691;5.000000;0;0.000000;14671166833;14671166860
2.547289;2.547289;6.000000;0;0.000000;14671666789;14671666831
2.551235;2.551235;6.000000;0;0.000000;14672166774;14672166802
2.558470;2.558470;6.000000;0;0.000000;14672666788;14672666816
2.549591;2.549591;6.000000;0;0.000000;14673166789;14673166830
2.560772;2.560772;6.000000;0;0.000000;14673666820;14673666848
2.549591;2.549591;6.000000;0;0.000000;14674166813;14674166840
2.542027;2.542027;3.000000;0;0.000000;14674666890;14674666932
2.544987;2.544987;3.000000;0;0.000000;14675166825;14675166853
2.592671;2.547947;3.000000;0;0.000000;14675666911;14675666938
2.546960;2.546960;3.000000;0;0.000000;14676166922;14676166964
2.536766;2.536766;3.000000;0;0.000000;14676666870;14676666897
2.547947;2.547947;3.000000;0;0.000000;14677166868;14677166895
2.552551;2.552551;5.000000;0;0.000000;14677666943;14677666987
2.563403;2.563403;5.000000;0;0.000000;14678166955;14678166983
2.568993;2.568993;5.000000;0;0.000000;14678666914;14678666942
2.570309;2.570309;3.000000;0;0.000000;14679166934;14679166974
2.563403;2.563403;3.000000;0;0.000000;14679666978;14679667004
2.585107;2.585107;3.000000;0;0.000000;14680166987;14680167015
2.584450;2.584450;5.000000;0;0.000000;14680666996;14680667038
2.590698;2.590698;5.000000;0;0.000000;14681167004;14681167031
2.569651;2.569651;5.000000;0;0.000000;14681667013;14681667041
2.564718;2.564718;6.000000;0;0.000000;14682167022;14682167064
2.574255;2.574255;6.000000;0;0.000000;14682667031;14682667059
2.555182;2.555182;6.000000;0;0.000000;14683167039;14683167067
2.601221;2.601221;3.000000;0;0.000000;14683667048;14683667091
2.532820;2.532820;3.000000;0;0.000000;14684167055;14684167083
2.546960;2.546960;3.000000;0;0.000000;14684667063;14684667090
2.570309;2.570309;7.000000;0;0.000000;14685167072;14685167114
2.611744;2.611744;7.000000;0;0.000000;14685667054;14685667082
2.569980;2.569980;7.000000;0;0.000000;14686167090;14686167118
2.564389;2.564389;6.000000;0;0.000000;14686667097;14686667138
2.625885;2.625885;6.000000;0;0.000000;14687167106;14687167133
2.535122;2.535122;6.000000;0;0.000000;14687667119;14687667146
2.641670;2.641670;6.000000;0;0.000000;14688167129;14688167171
2.588725;2.588725;6.000000;0;0.000000;14688667133;14688667160
2.541370;2.541370;6.000000;0;0.000000;14689167042;14689167070
2.532820;2.532820;4.000000;0;0.000000;14689667150;14689667192
2.513417;2.513417;4.000000;0;0.000000;14690167161;14690167190
2.540383;2.540383;4.000000;0;0.000000;14690667169;14690667197
2.587080;2.587080;4.000000;0;0.000000;14691167164;14691167206
2.558799;2.558799;4.000000;0;0.000000;14691667189;14691667217
2.472639;2.472639;4.000000;0;0.000000;14692167193;14692167221
2.519337;2.519337;4.000000;0;0.000000;14692667202;14692667244
2.564718;2.564718;4.000000;0;0.000000;14693167211;14693167238
2.620623;2.620623;4.000000;0;0.000000;14693667218;14693667245
2.567678;2.666005;5.000000;0;0.000000;14694167227;14694167268
2.645287;2.645287;5.000000;0;0.000000;14694667236;14694667263
2.552880;2.552880;5.000000;0;0.000000;14695167248;14695167276
2.550906;2.550906;5.000000;0;0.000000;14695667255;14695667298
2.561759;2.561759;5.000000;0;0.000000;14696167205;14696167233
2.553208;2.553208;5.000000;0;0.000000;14696667271;14696667298
2.544329;2.544329;4.000000;0;0.000000;14697167286;14697167327
2.536766;2.536766;4.000000;0;0.000000;14697667292;14697667319
2.560114;2.560114;4.000000;0;0.000000;14698167188;14698167215
2.580832;2.580832;5.000000;0;0.000000;14698667274;14698667316
2.530846;2.601550;5.000000;0;0.000000;14699167316;14699167344
2.569651;2.569651;5.000000;0;0.000000;14699667324;14699667352
2.571953;2.571953;3.000000;0;0.000000;14700167331;14700167373
2.548605;2.548605;3.000000;0;0.000000;14700667342;14700667369
2.582476;2.582476;3.000000;0;0.000000;14701167350;14701167377
2.573926;2.573926;7.000000;0;0.000000;14701667357;14701667398
2.578530;2.578530;7.000000;0;0.000000;14702167371;14702167399
